zipCode,AverageAnnualCount,PovertyEst,avgDeathsPerYear,deathRate,incidentRate,medIncome,popEst2020,povertyPercent,studyCount,studyPerCap
11972,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11973,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11975,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11976,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11977,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11978,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11980,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
12028,443.0,6569.0,159.0,175.8,505.5,69849.0,60841.0,10.1,0.0,0.0
12057,443.0,6569.0,159.0,175.8,505.5,69849.0,60841.0,10.1,0.0,0.0
12090,443.0,6569.0,159.0,175.8,505.5,69849.0,60841.0,10.1,0.0,0.0
12094,443.0,6569.0,159.0,175.8,505.5,69849.0,60841.0,10.1,0.0,0.0
12154,443.0,6569.0,159.0,175.8,505.5,69849.0,60841.0,10.1,0.0,0.0
12170,443.0,6569.0,159.0,175.8,505.5,69849.0,60841.0,10.1,0.0,0.0
12185,443.0,6569.0,159.0,175.8,505.5,69849.0,60841.0,10.1,0.0,0.0
12190,515.0,28283.0,171.0,164.8,515.7,79340.0,65599.0,16.2,0.0,0.0
12401,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,2.0,10.969783730713749
12404,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12406,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12409,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12410,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12411,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12412,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12414,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12416,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12417,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12419,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12420,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12427,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12428,817.0,57663.0,284.5,157.05,452.7,95639.0,130988.5,11.4,0.0,0.0
12429,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12430,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12432,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12433,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12435,817.0,57663.0,284.5,157.05,452.7,95639.0,130988.5,11.4,0.0,0.0
12440,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12441,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12443,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12446,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12448,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12449,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12450,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12453,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12455,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12456,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12457,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12458,817.0,57663.0,284.5,157.05,452.7,95639.0,130988.5,11.4,0.0,0.0
12461,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,1.0,5.484891865356874
12463,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12464,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,1.0,5.484891865356874
12465,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12466,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12471,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12472,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12475,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12477,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
12480,1169.0,14405.0,396.0,149.9,458.0,72025.0,182319.0,16.0,0.0,0.0
