countyCode,AverageAnnualCount,PovertyEst,avgDeathsPerYear,deathRate,incidentRate,medIncome,popEst2020,povertyPercent,studyCount,studyPerCap
42127,357.0,23615,135.0,153.1,422.5,70751.0,51173.0,11.5,2.0,39.083110233912414
42129,2388.0,6205,943.0,158.5,436.30000000000007,56973.0,352057.0,12.8,59.0,167.58649877718665
42131,194.0,33697,69.0,165.1,483.1000000000001,71152.0,26014.0,9.7,4.0,153.7633581917429
46101,36.0,18266,12.0,132.6,404.8,75623.0,6349.0,9.2,0.0,0.0
46103,620.0,5529,219.0,150.9,430.6,40683.0,114461.0,42.3,36.0,314.51760861778246
46105,15.0,15784,9.0,159.40000000000003,320.4,67573.0,2804.0,14.3,0.0,0.0
46107,20.0,427,6.0,117.5,554.0,57148.0,2438.0,15.5,0.0,0.0
46109,52.0,235,22.0,150.7,379.1,72374.0,10163.0,9.8,0.0,0.0
46111,16.0,1727,4.0,115.2,497.1000000000001,57788.0,2415.0,17.4,0.0,0.0
46115,45.0,316,15.0,139.9,470.8,63266.0,6235.0,13.6,0.0,0.0
46117,20.0,722,7.0,146.5,462.8,61513.0,2999.0,12.1,0.0,0.0
46121,29.0,111,16.0,258.3,447.1,76192.0,9220.0,7.6,0.0,0.0
46123,37.0,3598,14.0,136.3,436.5,41862.0,5565.0,39.5,0.0,0.0
46125,53.0,1053,20.0,154.0,451.8,55946.0,8856.0,19.8,2.0,225.8355916892502
46127,107.0,724,34.0,163.1,528.1,74511.0,17063.0,8.3,34.0,1992.615601008029
46129,33.0,1020,14.0,138.4,401.0,85677.0,5265.0,6.0,0.0,0.0
46135,136.0,785,41.0,118.9,438.7,57100.0,23373.0,15.1,1.0,42.78440936122877
47101,90.0,6112,35.0,190.7,505.8999999999999,55562.0,12957.0,13.6,0.0,0.0
47103,173.0,1841,85.0,169.8,359.9,53189.0,36004.0,14.4,6.0,166.64815020553272
47105,416.0,4966,141.0,149.1,460.1,61591.0,58181.0,13.9,7.0,120.31419191832386
47107,358.0,5881,143.0,182.5,471.9,79683.0,54719.0,10.2,0.0,0.0
47109,170.0,8003,78.0,203.0,457.0,60950.0,25988.0,14.899999999999999,5.0,192.39649068800983
47111,156.0,4424,60.0,203.7,530.8,49706.0,26229.0,17.3,0.0,0.0
47113,549.0,3793,215.0,169.2,439.40000000000003,56817.0,99245.0,14.700000000000001,8.0,80.6085948914303
47115,206.0,14152,74.0,175.5,506.3,57070.0,29094.0,14.9,0.0,0.0
47117,218.0,4000,78.0,183.90000000000003,514.0,58686.0,35878.0,13.900000000000002,3.0,83.61670104242154
47119,581.0,3905,201.0,172.6,494.1,64013.0,108159.0,11.0,2.0,18.49129522277388
47121,92.0,11092,38.0,215.8,531.3,70225.0,13272.0,10.400000000000002,1.0,75.34659433393611
